Date,Open,High,Low,Close,Adj Close,Volume
31-03-2006,9.682,9.76,9.565,9.714,9.714,1466331647
03-04-2006,9.702,9.775,9.662,9.706,9.706,326125835
04-04-2006,9.711,10.085,9.667,10.071,10.071,630984252
05-04-2006,10.167,10.326,10.033,10.162,10.162,538430634
06-04-2006,10.124,10.309,10.098,10.241,10.241,345229172
07-04-2006,10.272,10.283,10.063,10.116,10.116,282089392
10-04-2006,10.139,10.39,10.093,10.371,10.371,374201361
11-04-2006,10.372,10.438,10.118,10.203,10.203,445953300
12-04-2006,10.187,10.245,10.092,10.186,10.186,241582128
13-04-2006,10.178,10.206,9.975,10.016,10.016,263098475
17-04-2006,10.049,10.274,9.984,10.133,10.133,331618345
18-04-2006,10.16,10.207,10,10.068,10.068,326724069
19-04-2006,10.276,10.302,10.13,10.224,10.224,272284779
20-04-2006,10.237,10.361,10.167,10.336,10.336,492699864
21-04-2006,11.181,11.226,10.864,10.887,10.887,905433112
24-04-2006,10.944,11.076,10.872,10.971,10.971,354780840
25-04-2006,10.95,10.985,10.61,10.639,10.639,384194678
26-04-2006,10.654,10.711,10.549,10.609,10.609,292203159
27-04-2006,10.533,10.633,10.446,10.462,10.462,334766100
28-04-2006,10.427,10.604,10.369,10.409,10.409,297964674
01-05-2006,10.423,10.447,9.927,9.935,9.935,416001453
02-05-2006,9.99,10.025,9.674,9.833,9.833,526136725
03-05-2006,9.872,10,9.736,9.817,9.817,324098263
04-05-2006,9.839,9.935,9.769,9.832,9.832,186777474
05-05-2006,9.903,9.98,9.758,9.821,9.821,243509324
08-05-2006,9.841,9.891,9.715,9.833,9.833,205511431
09-05-2006,9.856,10.187,9.807,10.182,10.182,366994449
10-05-2006,10.17,10.254,10.009,10.037,10.037,248415646
11-05-2006,10.048,10.08,9.589,9.639,9.639,357045296
12-05-2006,9.553,9.586,9.304,9.318,9.318,405016432
15-05-2006,9.363,9.468,9.172,9.37,9.37,344891912
16-05-2006,9.365,9.386,9.213,9.248,9.248,260617209
17-05-2006,9.231,9.461,9.221,9.328,9.328,427347823
18-05-2006,9.434,9.51,9.233,9.24,9.24,234274840
19-05-2006,9.297,9.328,8.981,9.216,9.216,457636930
22-05-2006,9.162,9.291,9.097,9.239,9.239,345466056
23-05-2006,9.32,9.561,9.304,9.354,9.354,360666820
24-05-2006,9.399,9.55,9.256,9.496,9.496,383584400
